nama;nama_arab;arti;tipe;jml_ayat;durasi;file_path
Al Fatihah;???????;Pembuka;Makkiyyah;7;0;null
Al Baqarah;??????;Sapi Betina;Madaniyyah;286;0;null
Ali 'Imran;??? ?????;Keluarga Imran;Madaniyyah;200;0;null
An Nisa;????????;Perempuan;Madaniyyah;176;0;null
Al Maidah;????????;Hidangan;Madaniyyah;120;0;null
Al An'am;???????;Hewan Ternak;Makkiyyah;165;0;null
Al A'raf;???????;Tempat Tertinggi;Makkiyyah;206;0;null
Al Anfal;???????;Harta Rampasan Perang;Madaniyyah;75;0;null
At Taubah;???????;Pengampunan;Madaniyyah;129;0;null
Yunus;????;Nabi Yunus;Makkiyyah;109;0;null
Hud;???;Nabi Hud;Makkiyyah;123;0;null
Yusuf;????;Nabi Yusuf;Makkiyyah;111;0;null
Ar Ra'd;??????;Guruh;Makkiyyah;43;0;null
Ibrahim;???????;Nabi Ibrahim;Makkiyyah;52;0;null
Al Hijr;?????;Hijr;Makkiyyah;99;0;null
An Nahl;??????;Lebah;Makkiyyah;128;0;null
Al Isra;????????;Perjalanan di Malam Hari;Makkiyyah;111;0;null
Al Kahf;?????;Gua;Makkiyyah;110;0;null
Maryam;????;Maryam;Makkiyyah;98;0;null
Thaha;????;Thaha;Makkiyyah;135;0;null
Al Anbiya;?????????;Para Nabi;Makkiyyah;112;0;null
Al Hajj;?????;Haji;Madaniyyah;78;0;null
Al Mu'minun;????????;Orang-orang Mukmin;Makkiyyah;118;0;null
An Nur;??????;Cahaya;Madaniyyah;64;0;null
Al Furqan;???????;Pembeda;Makkiyyah;77;0;null
Asy Syu'ara;?????????;Para Penyair;Makkiyyah;227;0;null
An Naml;??????;Semut;Makkiyyah;93;0;null
Al Qashash;?????;Kisah-kisah;Makkiyyah;88;0;null
Al Ankabut;????????;Laba-laba;Makkiyyah;69;0;null
Ar Rum;??????;Bangsa Romawi;Makkiyyah;60;0;null
Luqman;?????;Keluarga Luqman;Makkiyyah;34;0;null
As Sajdah;???????;Sajdah;Makkiyyah;30;0;null
Al Ahzab;???????;Golongan yang Bersekutu;Madaniyyah;73;0;null
Saba;???;Kaum Saba;Makkiyyah;54;0;null
Fathir;????;Pencipta;Makkiyyah;45;0;null
Yasin;????;Yasin;Makkiyyah;83;0;null
Ash Shaffat;??????????;Barisan-barisan;Makkiyyah;182;0;null
Shad;??;Shad;Makkiyyah;88;0;null
Az Zumar;??????;Rombongan-rombongan;Makkiyyah;75;0;null
Ghafir;????;Yang Mengampuni;Makkiyyah;85;0;null
Fushshilat;?????;Yang Dijelaskan;Makkiyyah;54;0;null
Asy Syura;????????;Musyawarah;Makkiyyah;53;0;null
Az Zukhruf;???????;Perhiasan;Makkiyyah;89;0;null
Ad Dukhan;???????;Kabut;Makkiyyah;59;0;null
Al Jatsiyah;???????;Yang Bertekuk Lutut;Makkiyyah;37;0;null
Al Ahqaf;???????;Bukit-bukit Pasir;Makkiyyah;35;0;null
Muhammad;?????;Nabi Muhammad;Madaniyyah;38;0;null
Al Fath;?????;Kemenangan;Madaniyyah;29;0;null
Al Hujurat;???????;Kamar-kamar;Madaniyyah;18;0;null
Qaf;??;Qaf;Makkiyyah;45;0;null
Adz Dzariyat;?????????;Yang Menerbangkan;Makkiyyah;60;0;null
At Thur;??????;Bukit;Makkiyyah;49;0;null
An Najm;??????;Bintang;Makkiyyah;62;0;null
Al Qamar;?????;Bulan;Makkiyyah;55;0;null
Ar Rahman;????????;Yang Maha Pengasih;Makkiyyah;78;0;null
Al Waqi'ah;???????;Hari Kiamat;Makkiyyah;96;0;null
Al Hadid;??????;Besi;Madaniyyah;29;0;null
Al Mujadalah;????????;Wanita yang Mengajukan Gugatan;Madaniyyah;22;0;null
Al Hasyr;?????;Pengusiran;Madaniyyah;24;0;null
Al Mumtahanah;????????;Wanita yang Diuji;Madaniyyah;13;0;null
Ash Shaff;??????;Barisan;Madaniyyah;14;0;null
Al Jumu'ah;??????;Hari Jumat;Madaniyyah;11;0;null
Al Munafiqun;?????????;Orang-orang Munafik;Madaniyyah;11;0;null
At Taghabun;????????;Hari Dinampakkan Kesalahan;Madaniyyah;18;0;null
Ath Thalaq;???????;Talak;Madaniyyah;12;0;null
At Tahrim;????????;Pengharaman;Madaniyyah;12;0;null
Al Mulk;??????;Kerajaan;Makkiyyah;30;0;null
Al Qalam;?????;Pena;Makkiyyah;52;0;null
Al Haqqah;????????;Hari Kiamat;Makkiyyah;52;0;null
Al Ma'arij;???????;Tempat-tempat Naik;Makkiyyah;44;0;null
Nuh;???;Nabi Nuh;Makkiyyah;28;0;null
Al Jinn;?????;Jin;Makkiyyah;28;0;null
Al Muzzammil;????????;Orang yang Berselimut;Makkiyyah;20;0;null
Al Muddatstsir;????????;Orang yang Berkemul;Makkiyyah;56;0;null
Al Qiyamah;???????;Hari Kiamat;Makkiyyah;40;0;null
Al Insan;???????;Manusia;Madaniyyah;31;0;null
Al Mursalat;????????;Malaikat-malaikat yang Diutus;Makkiyyah;50;0;null
An Naba;??????;Berita Besar;Makkiyyah;40;0;null
An Nazi'at;?????????;Malaikat-malaikat yang Mencabut;Makkiyyah;46;0;null
Abasa;???;Berwajah Masam;Makkiyyah;42;0;null
At Takwir;????????;Menggulung;Makkiyyah;29;0;null
Al Infithar;????????;Terbelah;Makkiyyah;19;0;null
Al Muththaffifin;?????????;Orang-orang yang Curang;Makkiyyah;36;0;null
Al Insyiqaq;????????;Terbelah;Makkiyyah;25;0;null
Al Buruj;??????;Gugusan Bintang;Makkiyyah;22;0;null
Ath Thariq;???????;Yang Datang di Malam Hari;Makkiyyah;17;0;null
Al A'la;??????;Yang Paling Tinggi;Makkiyyah;19;0;null
Al Ghasyiyah;???????;Hari Pembalasan;Makkiyyah;26;0;null
Al Fajr;?????;Fajar;Makkiyyah;30;0;null
Al Balad;?????;Negeri;Makkiyyah;20;0;null
Asy Syams;??????;Matahari;Makkiyyah;15;0;null
Al Lail;?????;Malam;Makkiyyah;21;0;null
Adh Dhuha;??????;Waktu Dhuha;Makkiyyah;11;0;null
Asy Syarh;??????;Melapangkan;Makkiyyah;8;0;null
At Tin;??????;Buah Tin;Makkiyyah;8;0;null
Al 'Alaq;?????;Segumpal Darah;Makkiyyah;19;0;null
Al Qadr;?????;Kemuliaan;Makkiyyah;5;0;null
Al Bayyinah;???????;Pembuktian;Madaniyyah;8;0;null
Az Zalzalah;????????;Guncangan;Madaniyyah;8;0;null
Al 'Adiyat;????????;Kuda Perang yang Berlari Kencang;Makkiyyah;11;0;null
Al Qari'ah;???????;Hari Kiamat;Makkiyyah;11;0;null
At Takatsur;????????;Bermegah-megahan;Makkiyyah;8;0;null
Al 'Ashr;?????;Masa;Makkiyyah;3;0;null
Al Humazah;??????;Pengumpat;Makkiyyah;9;0;null
Al Fil;?????;Gajah;Makkiyyah;5;0;null
Quraisy;????;Suku Quraisy;Makkiyyah;4;0;null
Al Ma'un;???????;Barang-barang yang Berguna;Makkiyyah;7;0;null
Al Kautsar;??????;Nikmat yang Banyak;Makkiyyah;3;0;null
Al Kafirun;????????;Orang-orang Kafir;Makkiyyah;6;0;null
An Nashr;??????;Pertolongan;Madaniyyah;3;0;null
Al Lahab;??????;Gejolak Api;Makkiyyah;5;0;null
Al Ikhlash;???????;Ikhlas;Makkiyyah;4;0;null
Al Falaq;?????;Waktu Shubuh;Madaniyyah;5;0;null
An Nas;??????;Manusia;Madaniyyah;6;0;null
